skill,category,years_experience,experience_sources
JavaScript,Language,12+,AxysWeb; FDD; BG7; Saga; FullSoft; Acuity; MDFCommerce
TypeScript,Language,8+,AxysWeb; FDD; BG7; Saga; FullSoft; Acuity; MDFCommerce
Node.js,Backend Runtime,8+,AxysWeb; FDD; BG7; Saga; FullSoft; Acuity; MDFCommerce
React.js,Frontend Framework,6+,FullSoft; Saga; OxDreams; Acuity
Next.js,Frontend Framework,4+,Acuity
Angular,Frontend Framework,5+,FDD; BG7; Saga; MDFCommerce
AngularJS,Frontend Framework,1+,AxysWeb; FDD
RxJS,Frontend Library,3+,LogicTake; MDFCommerce
C#,Language,5+,AxysWeb; Saga; FullSoft; Acuity
.NET Framework,Backend Framework,5+,AxysWeb; Saga; FullSoft; FDD; Acuity; Masset
.NET Core,Backend Framework,4+,AxysWeb; Saga; FullSoft; FDD; Acuity; Masset
Python,Language,2+,AxysWeb; OxDreams; AI Experiments
Django,Backend Framework,1+,OxDreams
Flask,Backend Framework,0.5,Personal/learning
PHP,Language,3+,BG7; Saga; FDD; Fullsoft
Laravel,Backend Framework,2+,BG7; Saga
CodeIgniter,Backend Framework,2+,Saga; FDD
Slim Framework,Backend Framework,1+,BG7; Saga
Express.js,Backend Framework,6+,FDD; BG7; Saga; Fullsoft; Acuity
Fastify,Backend Framework,3+,FDD; BG7; Hyper System; Acuity
Koa.js,Backend Framework,1+,BG7; Hyper System
Nest.js,Backend Framework,4+,Acuity
GraphQL,API,3+,FDD; BG7; Freelancer Projects (Hyper System; Masset; Atagon); Kinective
REST API,API,8+,AxysWeb; FDD; BG7; Saga; FullSoft; Acuity; OxDreams; MDFCommerce; Kinective; FDD; BG7; Freelancer Projects (Hyper System; Masset; Atagon)
PostgreSQL,Database,8+,AxysWeb; FDD; BG7; Saga; Fullsoft; OxDreams; Acuity; MDFCommerce; Freelancer Projects (Hyper System; Masset; Atagon)
SQL Server,Database,5+,AxysWeb; Saga; FullSoft; Acuity
Oracle,Database,2+,Saga; FullSoft
PL/SQL,Database,2+,Saga; FullSoft
MySQL,Database,5+,BG7; Saga; FDD; Fullsoft
MongoDB,Database,2+,FDD; BG7; BG7
Redis,Cache,2+,Saga; Freelancer Projects (Hyper System; Masset; Atagon)
Kafka,Messaging,1+,FDD
Docker,DevOps,8+,FDD; BG7; Saga; FullSoft; Acuity; OxDreams; MDFCommerce; Kinective; FDD; BG7; Freelancer Projects (Hyper System; Masset; Atagon)
Kubernetes,DevOps,2+,Acuity
ArgoCD,DevOps,1+,Acuity
GitHub Actions,CI/CD,4+,MDFCommerce; Freelancer Projects (Hyper System; Masset; Atagon)
GitLab CI,CI/CD,4+,FDD; Saga; MDFCommerce; Freelancer Projects (Hyper System; Masset; Atagon)
Azure DevOps,CI/CD,3+,Acuity
CI/CD Pipelines,DevOps,6+,FDD; BG7; Saga; FullSoft; Acuity; OxDreams; MDFCommerce; Kinective; FDD; BG7; Freelancer Projects (Hyper System; Masset; Atagon)
AWS,Cloud,4+,BG7; Freelancer Projects (Hyper System; Masset; Atagon); MDFCommerce
Azure,Cloud,3+,Acuity
GCP,Cloud,1+,BG7; Freelancer Projects (Hyper System; Masset; Atagon); MDFCommerce
S3,AWS Service,3+,BG7; Freelancer Projects (Hyper System; Masset; Atagon); MDFCommerce
EC2,AWS Service,3+,BG7; Freelancer Projects (Hyper System; Masset; Atagon); MDFCommerce
Lambda,AWS Service,3+,BG7; Freelancer Projects (Hyper System; Masset; Atagon); MDFCommerce
RDS,AWS Service,2+,BG7; Freelancer Projects (Hyper System; Masset; Atagon); MDFCommerce
Route53,AWS Service,2+,BG7; Freelancer Projects (Hyper System; Masset; Atagon); MDFCommerce
LightSail,AWS Service,1+,BG7; Freelancer Projects (Hyper System; Masset; Atagon); MDFCommerce
Cosmos DB,Cloud Database,2+,Acuity
Application Insights,Monitoring,2+,Acuity
Key Vault,Cloud Security,2+,Acuity
App Services,Cloud Hosting,2+,Acuity
Active Directory,Identity,2+,Acuity
Swagger,API Tooling,5+,"FullSoft; Saga; Acuity; OxDreams; MDFCommerce "
Postman,API Tooling,5+,FDD; BG7; Saga; FullSoft; Acuity; OxDreams; MDFCommerce; Kinective; FDD; BG7; Freelancer Projects (Hyper System; Masset; Atagon)
Jest,Testing,4+,Acuity; MDFCommerce
Cypress,Testing,4+,Acuity
Playwright,Testing,2+,Acuity
Testing Library,Testing,2+,Acuity
